"name","decimalLatitude","decimalLongitude","basisOfRecord","year"
"Procyon lotor",33.33338,-100.23844,"HUMAN_OBSERVATION",2015
"Procyon lotor",27.9887,-81.86768,"HUMAN_OBSERVATION",2015
"Procyon lotor",34.57762,-99.95705,"HUMAN_OBSERVATION",2015
"Procyon lotor",30.1728,-102.7131,"HUMAN_OBSERVATION",2015
"Procyon lotor",40.76273,-111.86615,"HUMAN_OBSERVATION",2015
"Procyon lotor",30.3982,-98.2681,"HUMAN_OBSERVATION",2015
"Procyon lotor",33.06054,-96.95966,"HUMAN_OBSERVATION",2015
"Procyon lotor",30.4158,-104.2814,"HUMAN_OBSERVATION",2015
"Procyon lotor",30.34767,-97.8055,"HUMAN_OBSERVATION",2015
"Procyon lotor",32.52797,-94.70405,"HUMAN_OBSERVATION",2015
"Procyon lotor",47.31055,-122.53288,"HUMAN_OBSERVATION",2015
"Procyon lotor",30.4059,-98.288,"HUMAN_OBSERVATION",2015
"Procyon lotor",32.96397,-117.22278,"HUMAN_OBSERVATION",2015
"Procyon lotor",27.64331,-82.73987,"HUMAN_OBSERVATION",2015
"Procyon lotor",26.37206,-81.61117,"HUMAN_OBSERVATION",2015
"Procyon lotor",35.57171,-82.53573,"HUMAN_OBSERVATION",2015
"Procyon lotor",33.06457,-96.97107,"HUMAN_OBSERVATION",2015
"Procyon lotor",31.35752,-94.72522,"HUMAN_OBSERVATION",2015
"Procyon lotor",30.39773,-97.74003,"HUMAN_OBSERVATION",2015
"Procyon lotor",38.04425,-121.34156,"HUMAN_OBSERVATION",2015
"Procyon lotor",31.29526,-105.86383,"HUMAN_OBSERVATION",2015
"Procyon lotor",25.57125,-99.99953,"HUMAN_OBSERVATION",2015
"Procyon lotor",32.80929,-97.44846,"HUMAN_OBSERVATION",2015
"Procyon lotor",32.96337,-117.25318,"HUMAN_OBSERVATION",2015
"Procyon lotor",33.05013,-115.50111,"HUMAN_OBSERVATION",2015
"Procyon lotor",39.43534,-122.16229,"HUMAN_OBSERVATION",2015
"Procyon lotor",30.29187,-94.19451,"HUMAN_OBSERVATION",2015
"Procyon lotor",38.03011,-122.90238,"HUMAN_OBSERVATION",2015
"Procyon lotor",37.80622,-122.14946,"HUMAN_OBSERVATION",2015
"Procyon lotor",34.09627,-118.35234,"HUMAN_OBSERVATION",2015
"Procyon lotor",33.06041,-96.96022,"HUMAN_OBSERVATION",2015
"Procyon lotor",39.55224,-82.81329,"HUMAN_OBSERVATION",2015
"Procyon lotor",34.27458,-100.28538,"HUMAN_OBSERVATION",2015
"Procyon lotor",33.06166,-96.98945,"HUMAN_OBSERVATION",2015
"Procyon lotor",32.62302,-97.59866,"HUMAN_OBSERVATION",2015
"Procyon lotor",33.06367,-96.95376,"HUMAN_OBSERVATION",2015
"Procyon lotor",26.49771,-80.21724,"HUMAN_OBSERVATION",2015
"Procyon lotor",32.69218,-96.87031,"HUMAN_OBSERVATION",2015
"Procyon lotor",38.30796,-122.4797,"HUMAN_OBSERVATION",2015
"Procyon lotor",33.06054,-96.95954,"HUMAN_OBSERVATION",2015
"Procyon lotor",36.87401,-80.29778,"HUMAN_OBSERVATION",2015
"Procyon lotor",37.77087,-122.46215,"HUMAN_OBSERVATION",2015
"Procyon lotor",49.96,6.16,"HUMAN_OBSERVATION",2015
"Procyon lotor",38.80111,-76.7025,"HUMAN_OBSERVATION",2015
"Procyon lotor",33.71364,-85.77126,"HUMAN_OBSERVATION",2015
"Procyon lotor",26.37444,-81.60908,"HUMAN_OBSERVATION",2015
"Procyon lotor",21.01,-90.31513,"HUMAN_OBSERVATION",2015
"Procyon lotor",40.70041,-82.55656,"HUMAN_OBSERVATION",2015
"Procyon lotor",32.66822,-97.65363,"HUMAN_OBSERVATION",2015
"Procyon lotor",30.18666,-98.11075,"HUMAN_OBSERVATION",2015
"Procyon lotor",42.29774,-122.83955,"HUMAN_OBSERVATION",2015
"Procyon lotor",33.06061,-96.95911,"HUMAN_OBSERVATION",2015
"Procyon lotor",35.50392,-93.31425,"HUMAN_OBSERVATION",2015
"Procyon lotor",32.01752,-110.64283,"HUMAN_OBSERVATION",2015
"Procyon lotor",31.85421,-110.97871,"HUMAN_OBSERVATION",2015
"Procyon lotor",43.6918,-79.43342,"HUMAN_OBSERVATION",2015
